P|SA|Name|CLAT|CLON|SLAT|ELAT|SLON|ELON|DIR|DIAM|CT|ET|QUAD|MAP|AS|AD|REF|FT|Origin
"V"|"V"|"Abe Mango Dorsa"|47.0|212.0|0.0|0.0|0.0|0.0|"E"|800.0|"SA"|"BR"|"V-15"|"I-2457"|5|1997|107|"DO"|"Tukano (Brazil) daughter of sun god."
"E"|"m"|"Abel"|-34.5|87.3|||||"E"|122.0|"EU"|"NO"|"LOC-3"|"LOC-3"|5|1964|89|"AA"|"Niels Henrik; Norwegian mathematician (1802-1829)."
"A"|"er"|"Abelard"|-3.5|12.2|||||"W"|1.1|"EU"|"FR"|"Unknown"|"Unknown"|5|2003|59|"AA"|"Peter; French philosopher, lover of Heloise (1079-1142)."
"E"|"m"|"Abenezra"|-21.0|11.9|||||"E"|42.0|"EU"|"SP"|"LAC 96"|"LAC 96"|5|1935|89|"AA"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)."
"V"|"V"|"Abeona Mons"|-44.8|273.1|0.0|0.0|0.0|0.0|"E"|375.0|"EU"|"RM"|"V-53"|"I-2477"|5|1997|83|"MO"|"Roman goddess of travelers."
"E"|"m"|"Abetti"|20.1|27.8|||||"E"|1.5|"EU"|"IT"|"LM"|"42"|5|1976|68|"AA"|"Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982)."
"V"|"V"|"Abigail"|-52.2|111.2|0.0|0.0|0.0|0.0|"E"|18.4|"AS"|"HE"|"V-57"|"I-2476"|5|1994|82|"AA"|"First name from Hebrew."
"V"|"V"|"Abika"|-52.5|104.4|0.0|0.0|0.0|0.0|"E"|14.5|"UR"|"RU"|"V-57"|"I-2476"|5|1994|107|"AA"|"Mari first name."
"V"|"V"|"Abington"|-47.8|277.7|0.0|0.0|0.0|0.0|"E"|21.7|"EU"|"EN"|"V-53"|"I-2477"|5|1994|99|"AA"|"Frances; English actress (1737-1815)."
"V"|"V"|"Abra"|6.2|97.4|0.0|0.0|0.0|0.0|"E"|7.2|"AF"|"GH"|"V-23"|"Unknown"|5|1997|107|"AA"|"Ewe first name."
"H"|"H"|"Abu Nuwas"|17.4|20.4|||||"W"|116.0|"AS"|"SY"|"H-06"|"I-1822"|5|1976|59|"AA"|"Arab poet (c. 1756-1810)."
"E"|"m"|"Abul Wáfa"|1.0|116.6|||||"E"|55.0|"AS"|"PE"|"LTO65D3"|"LTO-65D3"|5|1970|75|"AA"|"Abū al-Wafā al-Būzajāni; Persian mathematician, astronomer (940-998)."
"E"|"m"|"Abulfeda"|-13.8|13.9|||||"E"|65.0|"AS"|"SY"|"LAC 78"|"LAC 78"|5|1935|59|"AA"|"Ismail Ibn Abū al-Fidā; Syrian geographer (1273-1331)."
"V"|"V"|"Abundia Corona"|18.5|125.0|0.0|0.0|0.0|0.0|"E"|250.0|"EU"|"NS"|"V-24"|"I-2467"|5|1994|27|"CR"|"Norse goddess of giving."
"M"|"M"|"Abus Vallis"|-5.6|147.3|-6.1|-5.1|147.3|147.4|"W"|58.0|"EU"|"GB"|"MC-16"|"I-2487"|5|1985|56|"VA"|"Classical name for Humber River in England."
"M"|"ME"|"Abus Vallis"|-5.54|212.7|-6.03|-5.04|212.7|212.6|"E"|58.0|"EU"|"GB"|"MC-16"|"I-2487"|5|1985|56|"VA"|"Classical name for Humber River in England."
"J"|"ga"|"Abydos Facula"|33.4|153.4|31.6|34.8|151.4|155.8|"W"|180.0|"AF"|"EG"|"GLOBAL"|"I-2762"|5|1985|1|"FA"|"Egyptian town where Osiris was worshipped."
"J"|"io"|"Acala Fluctus"|8.97|334.59|2.1|13.49|339.07|329.94|"W"|411.11|"AS"|"JA"|"Unknown"|"Unknown"|5|1997|83|"FL"|"Japanese fire god."
"S"|"pe"|"Acastus"|9.6|148.5|||||"W"|34.0|"EU"|"GR"|"Unknown"|"Unknown"|5|2006|177|"AA"|"Argonaut, son of the Thessalian king Pelias, took part in the Calydonian boar hunt."
"S"|"mi"|"Accolon"|-70.56|184.41|-77.87|-63.35|173.65|197.76|"W"|48.0|"EU"|"GB"|""|"I-1489"|5|1982|37|"AA"|"Companion of Arthur\'s; he was tricked into jousting with Arthur."
"V"|"V"|"Achall Corona"|-31.2|259.6|-32.5|-29.9|258.1|261.2|"E"|265.0|"EU"|"CE"|"V-52"|"I-2477"|5|2006|127|"CR"|"Celtic earth and nature goddess."
"M"|"M"|"Achar"|45.8|236.9|45.7|45.8|236.8|237.0|"W"|5.5|"SA"|"UR"|"UTOPIA"|"I-1061"|5|1979|36|"AA"|"Town in Uruguay."
"M"|"ME"|"Achar"|45.48|123.1|45.38|45.48|123.2|123.0|"E"|5.5|"SA"|"UR"|"UTOPIA"|"I-1061"|5|1979|36|"AA"|"Town in Uruguay."
"V"|"V"|"Achek Dorsa"|-37.2|230.0|0.0|0.0|0.0|0.0|"E"|1,000.0|"AF"|"SU"|"V-51"|"I-2477"|5|1997|107|"DO"|"Dinka (Sudan) wife of rain god Deng."
"J"|"ga"|"Achelous"|61.8|11.7|61.4|62.3|10.9|12.6|"W"|40.0|"EU"|"GR"|"GLOBAL"|"I-2762"|5|1979|19|"AA"|"Greek river god; father of Callirrhoe, Ganymede\'s mother."
"M"|"M"|"Acheron Catena"|37.6|101.0|33.7|41.0|98.4|103.4|"W"|491.0|"EU"|"GR"|"MC-03"|"I-2573"|5|1979|57|"CA"|"Named for classical albedo feature at 35N, 140W."
"M"|"ME"|"Acheron Catena"|37.29|259.0|33.4|40.68|261.6|256.6|"E"|491.0|"EU"|"GR"|"MC-03"|"I-2573"|5|1979|57|"CA"|"Named for classical albedo feature at 35N, 140W."
"M"|"M"|"Acheron Fossae"|37.6|135.8|31.7|40.3|129.2|143.2|"W"|718.0|"EU"|"GR"|"MC-02"|"I-2572"|5|1979|57|"FO"|"From classical albedo feature at 35N, 140W."
"M"|"ME"|"Acheron Fossae"|37.29|224.2|31.41|39.98|230.8|216.8|"E"|718.0|"EU"|"GR"|"MC-02"|"I-2572"|5|1979|57|"FO"|"From classical albedo feature at 35N, 140W."
"M"|"M"|"Acidalia Colles"|50.9|23.1|48.7|53.4|19.7|29.0|"W"|360.0|"EU"|"GR"|"MC-04"|"I-2574"|5|2000|71|"CO"|"From classical albedo feature name."
"M"|"ME"|"Acidalia Colles"|50.58|336.9|48.38|53.09|340.3|331.0|"E"|360.0|"EU"|"GR"|"MC-04"|"I-2574"|5|2000|71|"CO"|"From classical albedo feature name."
"M"|"M"|"Acidalia Mensa"|47.0|25.4|45.5|49.0|23.0|28.3|"W"|233.0|"EU"|"GR"|"MC-04"|"I-2574"|5|2000|71|"MN"|"From classical albedo feature name."
"M"|"ME"|"Acidalia Mensa"|46.68|334.6|45.18|48.68|337.0|331.7|"E"|233.0|"EU"|"GR"|"MC-04"|"I-2574"|5|2000|71|"MN"|"From classical albedo feature name."
"M"|"M"|"Acidalia Planitia"|47.0|22.0|30.0|57.0|350.0|55.0|"W"|2,300.0|"EU"|"GR"|"MC-04"|"I-2574"|5|1973|57|"PL"|"From classical albedo feature at 44N, 21W."
"M"|"ME"|"Acidalia Planitia"|46.68|338.0|29.72|56.7|10.0|305.0|"E"|2,300.0|"EU"|"GR"|"MC-04"|"I-2574"|5|1973|57|"PL"|"From classical albedo feature at 44N, 21W."
"A"|"da"|"Acmon"|-39.0|138.0|||||"E"|0.3|"EU"|"GR"|"Unknown"|"Unknown"|5|1997|1|"AA"|"One of the original three Dactyls."
"E"|"m"|"Acosta"|-5.6|60.1|||||"E"|13.0|"EU"|"PG"|"LTO80B4"|"LTO-80B4"|5|1976|0|"AA"|"Cristobal; Portuguese doctor, natural historian (1515-1580)."
"V"|"V"|"Acrea Corona"|24.2|243.7|23.2|25.0|242.3|245.4|"E"|200.0|"EU"|"GR"|"V-28"|"I-2457"|5|2003|83|"CR"|"Greek resplendent mother goddess."
"J"|"ga"|"Adad"|57.5|358.1|57.0|57.8|357.7|358.6|"W"|39.0|"AS"|"AB"|"GLOBAL"|"I-2762"|5|1979|1|"AA"|"Assyro-Babylonian god of thunder."
"V"|"V"|"Adaiah"|-47.3|253.4|0.0|0.0|0.0|0.0|"E"|18.0|"AS"|"HE"|"V-52"|"I-2477"|5|1994|83|"AA"|"Hebrew first name."
"J"|"ca"|"Adal"|75.5|79.7|75.0|76.0|78.1|81.6|"W"|41.7|"EU"|"NS"|"GLOBAL"|"I-2770"|5|1979|17|"AA"|"Norse; son of Karl and Erna."
"M"|"M"|"Adamas Labyrinthus"|35.7|254.3|30.7|40.5|248.5|260.0|"W"|750.0|"EU"|"GR"|"MC-07"|"I-2576"|5|1982|57|"LB"|"Classical albedo feature name; \"A River of Diamonds\"; today\'s River Sarbarnarekha in India."
"M"|"ME"|"Adamas Labyrinthus"|35.39|105.7|30.42|40.18|111.5|100.0|"E"|750.0|"EU"|"GR"|"MC-07"|"I-2576"|5|1982|57|"LB"|"Classical albedo feature name; \"A River of Diamonds\"; today\'s River Sarbarnarekha in India."
"M"|"M"|"Adams"|31.1|197.0|30.4|32.0|196.1|197.8|"W"|94.9|"NA"|"AM"|"MC-07"|"I-2577"|5|1973|68|"AA"|"Walter S.; American astronomer (1876-1956)."
"M"|"ME"|"Adams"|30.81|163.0|30.12|31.71|163.9|162.2|"E"|94.9|"NA"|"AM"|"MC-07"|"I-2577"|5|1973|68|"AA"|"Walter S.; American astronomer (1876-1956)."
"E"|"m"|"Adams"|-31.9|68.2|||||"E"|66.0|"NA"|"AM"|""|"Unknown"|5|1970|89|"AA"|"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956)."
"V"|"V"|"Adamson"|-14.8|29.6|0.0|0.0|0.0|0.0|"E"|27.2|"EU"|"AS"|"V-32"|"I-2475"|5|1994|99|"AA"|"Joy; Austrian author, animal expert (1910-1980)."
"J"|"ga"|"Adapa"|73.1|31.3|72.5|73.7|29.3|33.4|"W"|56.0|"AS"|"AB"|"GLOBAL"|"I-2762"|5|1979|1|"AA"|"Assyro-Babylonian; lost immortality when, at Ea\'s advice, he refused food of life."
"V"|"V"|"Addams"|-56.2|98.9|0.0|0.0|0.0|0.0|"E"|87.0|"NA"|"AM"|"V-57"|"I-2523"|5|1994|99|"AA"|"Jane; American social reformer (1860-1935)."
"V"|"V"|"Aditi Dorsa"|-30.0|189.0|0.0|0.0|0.0|0.0|"E"|1,200.0|"AS"|"IN"|"V-50"|"I-2477"|5|1997|1|"DO"|"Indian sky goddess."
"V"|"V"|"Adivar"|8.9|76.2|8.9|8.9|76.1|76.1|"E"|30.3|"AS"|"TU"|"V-22"|"I-2467"|5|1991|99|"AA"|"Halide; Turkish educator, author (1883-1964)."
"S"|"rh"|"Adjua"|40.2|118.9|||||"W"|0.0|"UR"|"UL"|"PRELIM"|"Unknown"|5|1982|50|"AA"|"Mythical heroine and ancestor of the Ulci tribe."
"J"|"ca"|"Adlinda"|-48.5|35.6|-56.2|-37.8|23.4|48.8|"W"|840.0|"NA"|"ES"|"GLOBAL"|"I-2770"|5|1979|1|"LG"|"Eskimo; place in ocean depths where souls are imprisoned after death."
"S"|"pe"|"Admetus"|11.4|39.1|||||"W"|58.0|"EU"|"GR"|"Unknown"|"Unknown"|5|2006|177|"AA"|"Argonaut, founder and king of Pherae in Thessaly."
"J"|"eu"|"Adonis Linea"|-61.0|122.6|-82.3|-28.6|148.4|131.2|"W"|1,560.0|"EU"|"GR"|"GLOBAL"|"I-2757"|5|1979|19|"LI"|"Greek; son of Phoenix, nephew of Europa."
"V"|"V"|"Adrasthea Tesserae"|30.0|55.0|0.0|0.0|0.0|0.0|"E"|750.0|"EU"|"GR"|"V-09"|"I-2466"|5|1997|107|"TE"|"Greek goddess of law."
"S"|"di"|"Adrastus"|-61.66|46.57|-63.7|-60.0|42.27|50.3|"W"|38.5|"EU"|"GR"|"PRELIM"|"I-1488"|5|1982|44|"AA"|"King of Argos, one of the seven against Thebes, and the only one to return alive."
"U"|"ti"|"Adriana"|-20.1|3.9|||||"E"|50.0|"EU"|"GB"|"TITANI"|"Unknown"|5|1988|85|"AA"|"Wife of Antipholus of Ephesus in \"The Comedy of Errors.\""
"H"|"H"|"Adventure Rupes"|-65.1|65.5|||||"W"|0.0|"EU"|"EN"|"H-11"|"I-1030"|5|1976|59|"RU"|"English; one of Cook\'s ships on second voyage to the Pacific, 1772-75."
"V"|"V"|"Adzoba"|12.8|117.0|0.0|0.0|0.0|0.0|"E"|10.0|"AF"|"GH"|"V-23"|"I-2467"|5|1997|107|"AA"|"Ewe (Ghana) first name."
"V"|"V"|"Aegina Farrum"|35.5|20.9|0.0|0.0|0.0|0.0|"E"|60.0|"EU"|"GR"|"V-08"|"I-2466"|5|1994|83|"FR"|"Greek river nymph."
"J"|"ca"|"Aegir"|-45.8|103.8|-46.4|-45.2|102.8|104.6|"W"|53.9|"EU"|"NS"|"GLOBAL"|"I-2770"|5|1997|17|"AA"|"Norse sea god."
"S"|"di"|"Aeneas"|25.89|46.27|17.95|34.53|36.85|55.21|"W"|161.0|"EU"|"RM"|"PRELIM"|"I-1488"|5|1982|44|"AA"|"Hero of the Aeneid. The son of Anchises and Venus and a member of the royal family of Troy."
"M"|"M"|"Aeolis"|-5.0|215.0|-5.0|-5.0|215.0|215.0|"W"|0.0|"EU"|"GR"|"MC-23"|"Unknown"|5|1958|60|"AL"|"Floating island where winds were kept in a cave."
"M"|"ME"|"Aeolis"|-4.94|145.0|-4.94|-4.94|145.0|145.0|"E"|0.0|"EU"|"GR"|"MC-23"|"Unknown"|5|1958|60|"AL"|"Floating island where winds were kept in a cave."
"M"|"M"|"Aeolis Mensae"|-2.9|219.6|-6.5|2.0|213.0|224.7|"W"|820.0|"EU"|"GR"|"MC-23"|"I-2578"|5|1976|57|"MN"|"Classical albedo feature name."
"M"|"ME"|"Aeolis Mensae"|-2.87|140.4|-6.43|1.98|147.0|135.3|"E"|820.0|"EU"|"GR"|"MC-23"|"I-2578"|5|1976|57|"MN"|"Classical albedo feature name."
"V"|"V"|"Aeracura Corona"|-19.0|238.5|0.0|0.0|0.0|0.0|"E"|250.0|"EU"|"CE"|"V-39"|"I-2477"|5|1994|111|"CR"|"Celtic earth goddess."
"M"|"M"|"Aeria"|10.0|310.0|10.0|10.0|310.0|310.0|"W"|0.0|"EU"|"GR"|"Unknown"|"Unknown"|5|1958|60|"AL"|"Greek name for Egypt; \"far land of mist\"."
"M"|"ME"|"Aeria"|9.89|50.0|9.89|9.89|50.0|50.0|"E"|0.0|"EU"|"GR"|"Unknown"|"Unknown"|5|1958|60|"AL"|"Greek name for Egypt; \"far land of mist\"."
"M"|"M"|"Aesacus Dorsum"|37.2|206.9|35.0|39.0|205.3|207.8|"W"|264.0|"EU"|"GR"|"MC-07"|"I-2577"|5|1985|57|"DO"|"From albedo feature at 45N, 205W."
"M"|"ME"|"Aesacus Dorsum"|36.89|153.1|34.7|38.68|154.7|152.2|"E"|264.0|"EU"|"GR"|"MC-07"|"I-2577"|5|1985|57|"DO"|"From albedo feature at 45N, 205W."
"V"|"V"|"Aethelflaed"|-18.2|196.6|0.0|0.0|0.0|0.0|"E"|20.0|"EU"|"EN"|"V-38"|"I-2477"|5|1994|99|"AA"|"English leader of the Mercians (c. 884-918)."
"M"|"M"|"Aetheria"|40.0|230.0|40.0|40.0|230.0|230.0|"W"|0.0|"EU"|"GR"|"Unknown"|"Unknown"|5|1958|60|"AL"|"Upper world; land of living."
"M"|"ME"|"Aetheria"|39.68|130.0|39.68|39.68|130.0|130.0|"E"|0.0|"EU"|"GR"|"Unknown"|"Unknown"|5|1958|60|"AL"|"Upper world; land of living."
"M"|"M"|"Aethiopis"|10.0|230.0|10.0|10.0|230.0|230.0|"W"|0.0|"EU"|"GR"|"Unknown"|"Unknown"|5|1958|60|"AL"|"Countries of the Ethiopians on southern edge of the Earth."
"M"|"ME"|"Aethiopis"|9.89|130.0|9.89|9.89|130.0|130.0|"E"|0.0|"EU"|"GR"|"Unknown"|"Unknown"|5|1958|60|"AL"|"Countries of the Ethiopians on southern edge of the Earth."
"V"|"V"|"Afiba"|-47.1|102.7|0.0|0.0|0.0|0.0|"E"|9.5|"AF"|"GH"|"V-47"|"Unknown"|5|1997|107|"AA"|"Ewe first name."
"V"|"V"|"Afiruwa"|4.3|3.8|0.0|0.0|0.0|0.0|"E"|5.2|"AF"|"NI"|"V-20"|"Unknown"|5|1997|107|"AA"|"Hausa first name."
"A"|"id"|"Afon"|-6.5|0.0|||||"E"|0.8|"UR"|"RU"|""|"No Title"|5|1994|0|"AA"|"Cave in Russia. <em>Note: Defines zero degrees longitude on Ida.</em>"
"H"|"H"|"Africanus Horton"|-51.5|41.2|||||"W"|135.0|"AF"|"SL"|"H-11"|"I-1822"|5|1976|59|"AA"|"(James Beale); Sierra Leonean author, folklorist (1835-1883)."
"V"|"V"|"Aftenia"|50.0|324.0|0.0|0.0|0.0|0.0|"E"|7.0|"UR"|"MD"|"V-18"|"Unknown"|5|1997|107|"AA"|"Moldavian first name."
"V"|"V"|"Afua"|15.5|124.0|0.0|0.0|0.0|0.0|"E"|10.0|"AF"|"GH"|"V-24"|"I-2467"|5|1997|107|"AA"|"Akan (Ghana) first name."
"M"|"M"|"Aganippe Fossa"|-8.3|126.2|-13.0|-4.1|124.9|126.9|"W"|532.0|"EU"|"GR"|"MC-17"|"I-2488"|5|1976|57|"FO"|"Classical albedo feature name."
"M"|"ME"|"Aganippe Fossa"|-8.21|233.8|-12.86|-4.05|235.1|233.1|"E"|532.0|"EU"|"GR"|"MC-17"|"I-2488"|5|1976|57|"FO"|"Classical albedo feature name."
"U"|"ar"|"Agape"|-46.9|336.5|||||"E"|34.0|"EU"|"GB"|"ARIEL"|"Unknown"|5|1988|83|"AA"|"Spirit in Spenser\'s \"Fairy Queene.\""
"M"|"M"|"Agassiz"|-70.1|89.0|-71.1|-69.2|85.9|91.5|"W"|117.7|"NA"|"AM"|"MC-30"|"I-2571"|5|1973|68|"AA"|"Jean L.; American naturalist (1807-1873)."
"M"|"ME"|"Agassiz"|-69.89|271.0|-70.9|-68.98|274.1|268.5|"E"|117.7|"NA"|"AM"|"MC-30"|"I-2571"|5|1973|68|"AA"|"Jean L.; American naturalist (1807-1873)."
"E"|"m"|"Agatharchides"|-19.8|-30.9|||||"E"|48.0|"EU"|"GR"|"LAC 93"|"LAC 93"|5|1935|182|"AA"|"Agatharchides of Cnidos; Greek geographer (c. 116 B.C.)."
"J"|"eu"|"Agave Linea"|12.8|273.1|-10.1|33.5|256.8|286.9|"W"|1,440.0|"EU"|"GR"|"GLOBAL"|"I-2757"|5|1997|1|"LI"|"Daughter of Harmonia and Cadmus."
"J"|"eu"|"Agenor Linea"|-43.8|213.5|-41.8|-37.1|178.6|248.4|"W"|1,496.0|"EU"|"GR"|"GLOBAL"|"I-2757"|5|1979|19|"LI"|"Greek; Europa\'s father."
"V"|"V"|"Aglaonice"|-26.4|339.9|-26.5|-26.5|339.9|339.9|"E"|63.7|"EU"|"GR"|"V-55"|"I-2475"|5|1991|99|"AA"|"Ancient Greek astronomer."
"J"|"ca"|"Agloolik"|-47.7|82.4|-48.4|-47.0|81.2|83.4|"W"|61.6|"NA"|"ES"|"GLOBAL"|"I-2770"|5|1997|1|"AA"|"Eskimo spirit of the seal caves."
"V"|"V"|"Agnesi"|-39.4|37.7|-39.5|-39.5|37.8|37.8|"E"|42.4|"EU"|"IT"|"V-45"|"I-2475"|5|1991|100|"AA"|"Maria; Italian mathemetician (1718-1799)."
"J"|"io"|"Agni Patera"|-40.8|333.05|-40.98|-40.62|333.45|332.65|"W"|19.7|"AS"|"IN"|"JI-02"|"Unknown"|5|1985|1|"PE"|"Hindu god of fire."
"V"|"V"|"Agoe"|13.1|4.3|0.0|0.0|0.0|0.0|"E"|6.3|"AF"|"GH"|"V-20"|"Unknown"|5|1997|107|"AA"|"Eve first name."
"V"|"V"|"Agraulos Corona"|-27.7|165.8|0.0|0.0|0.0|0.0|"E"|170.0|"EU"|"GR"|"V-49"|"I-2467"|5|1994|27|"CR"|"Greek fertility goddess."
"J"|"ga"|"Agreus"|15.9|232.7|15.1|16.5|232.1|233.5|"W"|63.0|"AS"|"PO"|"GLOBAL"|"I-2762"|5|1985|27|"AA"|"Hunter god in Tyre."
"E"|"m"|"Agrippa"|4.1|10.5|||||"E"|44.0|"EU"|"GR"|"LM 60"|"LM 60"|5|1935|66|"AA"|"Greek astronomer (unkn-fl. A.D. 92)."
"V"|"V"|"Agrippina"|-33.2|65.7|-33.2|-33.2|65.6|65.6|"E"|38.6|"EU"|"RM"|"V-46"|"I-2476"|5|1991|99|"AA"|"Roman empress (c. 13 B.C.-A.D. 33)."
"J"|"ga"|"Agrotes"|60.9|192.5|60.2|61.6|190.8|194.6|"W"|74.0|"AS"|"PO"|"GLOBAL"|"I-2762"|5|1985|27|"AA"|"Tyre; greatest god of Gebal; farmer god."
"S"|"rh"|"Agunua"|63.3|66.2|||||"W"|0.0|"OC"|"ME"|"PRELIM"|"Unknown"|5|1982|40|"AA"|"San Cristobal (Melanesia) god who made sea, land, people."
"J"|"io"|"Ah Peku Patera"|10.34|107.04|9.46|11.25|108.28|105.6|"W"|84.0|"SA"|"MY"|"Unknown"|"Unknown"|5|2006|174|"PE"|"Mayan thunder god."
"V"|"V"|"Ahava"|53.6|187.3|0.0|0.0|0.0|0.0|"E"|10.4|"AS"|"HE"|"V-05"|"I-2457"|5|1997|109|"AA"|"Hebrew first name."
"S"|"en"|"Ahmad"|58.76|311.57|56.55|60.81|307.29|315.49|"W"|18.7|"AS"|"AR"|"PRELIM"|"I-1485"|5|1982|52|"AA"|"Youngest son; brings father a magic apple; marries the Genie Peri Banu."
"H"|"H"|"Ahmad Baba"|58.5|126.8|||||"W"|127.0|"AF"|"SU"|"H-03"|"I-1822"|5|1979|59|"AA"|"Abu-a;-Abbas Aj,Ad Obm Aj,Ad a;-Takruri Al-Massufi; Sudanese writer (1556-1627)"
"V"|"V"|"Ahsabkab Vallis"|-24.0|79.0|0.0|0.0|0.0|0.0|"E"|700.0|"SA"|"MY"|"V-34,46"|"I-2476"|5|2000|107|"VA"|"Mayan name for morning Venus."
"V"|"V"|"Ahsonnutli Dorsa"|47.9|196.5|40.2|56.3|195.9|193.6|"E"|1,708.0|"NA"|"NV"|"V-14"|"I-2457"|5|1985|11|"DO"|"Navajo (N. America) spirit of light and sky."
"J"|"ca"|"Ahti"|41.4|102.4|40.7|41.9|101.6|103.2|"W"|54.8|"EU"|"FI"|"GLOBAL"|"I-2770"|5|1988|64|"AA"|"Finnish god of water; sends fish to the fisherman."
"V"|"V"|"Aibarchin Planitia"|-73.0|25.0|0.0|0.0|0.0|0.0|"E"|1,200.0|"UR"|"UZ"|"V-56,62"|"I-2523"|5|1997|107|"PL"|"Uzbek \"Alpamysh\" epic tale heroine."
"A"|"er"|"Aida"|7.9|130.5|||||"W"|1.6|"AF"|"ET"|"Unknown"|"Unknown"|5|2003|59|"AA"|"Ethiopian slave, beloved of Egyptian officer Radames in Verdi\'s opera \"Aida\" (Italy, 1870)."
"V"|"V"|"Aida-Wedo Dorsa"|73.0|214.0|0.0|0.0|0.0|0.0|"E"|450.0|"SA"|"HA"|"V-05"|"I-2490"|5|1997|107|"DO"|"Haitian rainbow spirit."
"J"|"io"|"Aidne Patera"|-1.78|177.09|-2.19|-1.34|177.5|176.62|"W"|30.26|"EU"|"IR"|"Unknown"|"Unknown"|5|1997|83|"PE"|"Irish creator of fire."
"V"|"V"|"Aife Fossae"|67.0|131.0|0.0|0.0|0.0|0.0|"E"|280.0|"EU"|"IR"|"V-04"|"I-2490"|5|1997|107|"FO"|"Irish warrior deity."
"V"|"V"|"Aigul"|38.2|280.4|0.0|0.0|0.0|0.0|"E"|6.0|"UR"|"KL"|"V-17"|"Unknown"|5|1997|107|"AA"|"Kalmyk first name."
"V"|"V"|"Aikhylu Chasma"|32.0|292.0|0.0|0.0|0.0|0.0|"E"|300.0|"UR"|"BS"|"V-17"|"I-2457"|5|1997|107|"CM"|"Bashkir myth\'s moon daughter."
"V"|"V"|"Ailar"|-15.8|68.4|0.0|0.0|0.0|0.0|"E"|8.2|"UR"|"TK"|"V-34"|"Unknown"|5|1997|107|"AA"|"Turkman first name."
"V"|"V"|"Aimee"|16.1|127.2|0.0|0.0|0.0|0.0|"E"|17.0|"EU"|"FR"|"V-24"|"I-2467"|5|1994|82|"AA"|"French first name."
"V"|"V"|"Aino Planitia"|-40.5|94.5|-50.9|-30.1|66.0|122.9|"E"|4,985.0|"EU"|"FI"|"V-46,47"|"I-2476"|5|1982|48|"PL"|"Finnish heroine who became water spirit."
"E"|"m"|"Airy"|-18.1|5.7|||||"E"|36.0|"EU"|"GB"|"LAC 95"|"LAC 95"|5|1935|66|"AA"|"George Biddell; British astronomer (1801-1892)."
"M"|"M"|"Airy"|-5.2|360.0|-5.5|-4.8|359.6|0.3|"W"|41.0|"EU"|"GB"|"MC-20"|"I-2532"|5|1973|68|"AA"|"George B.; British astronomer (1801-1892)."
